time,stock,atm_diff
10:24,UPL,
10:24,VBL,
10:24,VEDL,
10:24,VOLTAS,
10:24,WAAREEENER,
10:24,WIPRO,
10:24,YESBANK,
10:24,ZYDUSLIFE,
10:33,360ONE,
10:33,ABB,
10:33,ABCAPITAL,
10:33,ADANIENSOL,
10:33,ADANIENT,
10:33,ADANIGREEN,
10:33,ADANIPORTS,
10:33,ALKEM,
10:33,AMBER,
10:33,AMBUJACEM,
10:33,ANGELONE,
10:33,APLAPOLLO,
10:33,APOLLOHOSP,
10:33,ASHOKLEY,
10:33,ASIANPAINT,
10:33,ASTRAL,
10:33,AUBANK,
10:33,AUROPHARMA,
10:33,AXISBANK,
10:33,BAJAJ-AUTO,
10:33,BAJAJFINSV,
10:33,BAJAJHLDNG,
10:33,BAJFINANCE,
10:33,BANDHANBNK,
10:33,BANKBARODA,
10:33,BANKINDIA,
10:33,BDL,
10:33,BEL,
10:33,BHARATFORG,
10:33,BHARTIARTL,
10:33,BHEL,
10:33,BIOCON,
10:33,BLUESTARCO,
10:33,BOSCHLTD,
10:33,BPCL,
10:33,BRITANNIA,
10:33,BSE,
10:33,CAMS,
10:33,CANBK,
10:33,CDSL,
10:33,CGPOWER,
10:33,CHOLAFIN,
10:33,CIPLA,
10:33,COALINDIA,
10:33,COFORGE,
10:33,COLPAL,
10:33,CONCOR,
10:33,CROMPTON,
10:33,CUMMINSIND,
10:33,DABUR,
10:33,DALBHARAT,
10:33,DELHIVERY,
10:33,DIVISLAB,
10:33,DIXON,
10:33,DLF,
10:33,DMART,
10:33,DRREDDY,
10:33,EICHERMOT,
10:33,ETERNAL,
10:33,EXIDEIND,
10:33,FEDERALBNK,
10:33,FORTIS,
10:33,GAIL,
10:33,GLENMARK,
10:33,GMRAIRPORT,
10:33,GODREJCP,
10:33,GODREJPROP,
10:33,GRASIM,
10:33,HAL,
10:33,HAVELLS,
10:33,HCLTECH,
10:33,HDFCAMC,
10:33,HDFCBANK,
10:33,HDFCLIFE,
10:33,HEROMOTOCO,
10:33,HINDALCO,
10:33,HINDPETRO,
10:33,HINDUNILVR,
10:33,HINDZINC,
